Original comparison	Species	Majority protein IDs	Fasta headers	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	A1	A2	A3	B1	B2	B3
50Vs5	yeast	P09064	>sp|P09064|IF2B_YEAST Eukaryotic translation initiation factor 2 subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SUI3 PE=1 SV=2	4	4	4	12.6	12.6	12.6	31.574	1.21E+07	1.01E+07	1.27E+07	1.19E+07	1.46E+07	1.31E+07
50Vs5	yeast	P36008	>sp|P36008|EF1G2_YEAST Elongation factor 1-gamma 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TEF4 PE=1 SV=1	16	16	14	37.4	37.4	35	46.52	3.02E+08	3.00E+08	3.01E+08	3.40E+08	3.33E+08	3.54E+08
50Vs0.5	yeast	P40525;P87262	>sp|P40525|RL34B_YEAST 60S ribosomal protein L34-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL34B PE=1 SV=1;>sp|P87262|RL34A_YEAST 60S ribosomal protein L34-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL34A PE=1 SV=1	2	2	2	12.4	12.4	12.4	13.641	7.92E+07	8.42E+07	8.54E+07	8.66E+07	8.13E+07	7.41E+07
50Vs0.5	yeast	P53598	>sp|P53598|SUCA_YEAST Succinyl-CoA ligase [ADP-forming] subunit alpha, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LSC1 PE=1 SV=1	4	4	4	18.5	18.5	18.5	35.032	5.59E+07	5.55E+07	4.66E+07	5.47E+07	5.61E+07	5.46E+07
50Vs5	yeast	P04037	>sp|P04037|COX4_YEAST Cytochrome c oxidase subunit 4, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COX4 PE=1 SV=1	3	3	3	33.5	33.5	33.5	17.142	4.30E+07	3.94E+07	4.16E+07	4.12E+07	4.72E+07	4.50E+07
25Vs12.5	yeast	P36421	>sp|P36421|SYYC_YEAST Tyrosine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TYS1 PE=1 SV=3	10	10	10	25.6	25.6	25.6	44.019	7.06E+07	7.85E+07	7.89E+07	7.65E+07	7.99E+07	7.77E+07
50Vs5	yeast	P32588	>sp|P32588|PUB1_YEAST Nuclear and cytoplasmic polyadenylated RNA-binding protein PUB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PUB1 PE=1 SV=4	3	3	3	6.6	6.6	6.6	50.762	2.65E+07	2.58E+07	9.75E+06	1.92E+07	2.53E+07	2.01E+07
50Vs0.5	yeast	Q06142	>sp|Q06142|IMB1_YEAST Importin subunit beta-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KAP95 PE=1 SV=1	1	1	1	2.4	2.4	2.4	94.775	6.18E+06	6.39E+06	6.89E+06	7.45E+06	6.74E+06	6.28E+06
50Vs5	yeast	Q05515	>sp|Q05515|SVF1_YEAST Survival factor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SVF1 PE=1 SV=1	2	2	2	7.3	7.3	7.3	54.367	1.16E+07	1.00E+07	1.10E+07	1.26E+07	1.24E+07	1.20E+07
50Vs5	yeast	P29311	>sp|P29311|BMH1_YEAST Protein BMH1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BMH1 PE=1 SV=4	15	4	4	72.7	28.5	28.5	30.091	8.69E+07	9.10E+07	9.60E+07	9.49E+07	1.08E+08	1.09E+08
50Vs0.5	yeast	P30624	>sp|P30624|LCF1_YEAST Long-chain-fatty-acid--CoA ligase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FAA1 PE=1 SV=1	9	9	9	20	20	20	77.865	6.31E+07	6.30E+07	6.77E+07	6.44E+07	6.98E+07	6.93E+07
50Vs5	yeast	P07264	>sp|P07264|LEUC_YEAST 3-isopropylmalate dehydratase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LEU1 PE=1 SV=3	6	6	6	8.5	8.5	8.5	85.793	2.30E+07	2.25E+07	2.10E+07	2.32E+07	2.47E+07	2.36E+07
50Vs5	yeast	Q03262	>sp|Q03262|PGM3_YEAST Phosphoglucomutase-3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PGM3 PE=1 SV=1	1	1	1	1.4	1.4	1.4	71.068	2.63E+06	2.49E+06	2.90E+06		2.61E+06	2.51E+06
50Vs0.5	yeast	P07245	>sp|P07245|C1TC_YEAST C-1-tetrahydrofolate synthase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADE3 PE=1 SV=1	17	17	17	23.6	23.6	23.6	102.2	1.88E+08	1.89E+08	1.87E+08	1.88E+08	1.75E+08	1.87E+08
50Vs0.5	yeast	A6ZRW3;P07213	>sp|A6ZRW3|TOM70_YEAS7 Mitochondrial import receptor subunit TOM70 OS=Saccharomyces cerevisiae (strain YJM789) GN=TOM70 PE=3 SV=1;>sp|P07213|TOM70_YEAST Mitochondrial import receptor subunit TOM70 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN	6	6	6	12.2	12.2	12.2	70.122	1.76E+07	2.13E+07	1.97E+07	2.02E+07	2.11E+07	2.01E+07
50Vs0.5	yeast	P12709	>sp|P12709|G6PI_YEAST Glucose-6-phosphate isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PGI1 PE=1 SV=3	21	21	21	55.1	55.1	55.1	61.298	1.67E+09	1.69E+09	1.75E+09	1.65E+09	1.60E+09	1.72E+09
50Vs5	yeast	P37012	>sp|P37012|PGM2_YEAST Phosphoglucomutase-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PGM2 PE=1 SV=1	10	10	8	23.7	23.7	20	63.088	8.06E+07	8.42E+07	8.41E+07	9.19E+07	8.98E+07	8.60E+07
25Vs12.5	yeast	P47075	>sp|P47075|VTC4_YEAST Vacuolar transporter chaperone 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VTC4 PE=1 SV=2	5	5	5	10.3	10.3	10.3	83.154	4.20E+07	4.48E+07	3.88E+07	5.05E+07	3.98E+07	3.72E+07
50Vs5	yeast	P48164	>sp|P48164|RS7B_YEAST 40S ribosomal protein S7-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS7B PE=1 SV=1	7	4	4	41.6	27.9	27.9	21.634	3.91E+07	3.98E+07	3.94E+07	4.44E+07	4.78E+07	4.23E+07
50Vs5	yeast	P17709	>sp|P17709|HXKG_YEAST Glucokinase-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GLK1 PE=1 SV=1	13	13	12	33	33	30	55.377	1.61E+08	1.66E+08	1.61E+08	1.63E+08	1.83E+08	1.80E+08
50Vs5	yeast	P00942	>sp|P00942|TPIS_YEAST Triosephosphate isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TPI1 PE=1 SV=2	16	16	16	83.9	83.9	83.9	26.795	1.96E+09	2.01E+09	2.03E+09	1.97E+09	2.23E+09	2.26E+09
50Vs0.5	yeast	P23542	>sp|P23542|AATC_YEAST Aspartate aminotransferase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AAT2 PE=1 SV=3	9	9	9	28	28	28	46.057	8.95E+07	9.34E+07	9.06E+07	1.00E+08	9.49E+07	9.21E+07
50Vs0.5	yeast	P02557	>sp|P02557|TBB_YEAST Tubulin beta chain OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TUB2 PE=1 SV=2	4	4	4	10.1	10.1	10.1	50.922	3.02E+07	2.76E+07	2.72E+07	2.97E+07	3.00E+07	2.95E+07
50Vs5	yeast	P40850	>sp|P40850|MKT1_YEAST Protein MKT1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MKT1 PE=1 SV=2	7	7	7	10	10	10	94.493	2.32E+07	2.46E+07	2.15E+07	2.19E+07	2.81E+07	2.47E+07
50Vs5	yeast	Q06685	>sp|Q06685|VIP1_YEAST Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VIP1 PE=1 SV=1	2	2	2	2.6	2.6	2.6	129.75	6.20E+05	8.07E+05	9.16E+05		3.64E+05	4.35E+05
25Vs12.5	yeast	Q04697	>sp|Q04697|GSF2_YEAST Glucose-signaling factor 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GSF2 PE=1 SV=1	1	1	1	2.7	2.7	2.7	45.869	3.55E+06	4.34E+06	2.55E+06		3.46E+06	3.13E+06
50Vs0.5	yeast	O14455;P05745	>sp|O14455|RL36B_YEAST 60S ribosomal protein L36-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL36B PE=1 SV=3;>sp|P05745|RL36A_YEAST 60S ribosomal protein L36-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL36A PE=1 SV=3	7	7	7	50	50	50	11.135	1.69E+08	1.78E+08	1.62E+08	1.65E+08	1.66E+08	1.64E+08
50Vs0.5	yeast	P28834	>sp|P28834|IDH1_YEAST Isocitrate dehydrogenase [NAD] subunit 1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IDH1 PE=1 SV=2	12	12	12	38.3	38.3	38.3	39.324	2.91E+08	2.84E+08	2.72E+08	2.96E+08	2.87E+08	3.04E+08
50Vs0.5	yeast	P16140	>sp|P16140|VATB_YEAST V-type proton ATPase subunit B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VMA2 PE=1 SV=2	21	21	21	56.3	56.3	56.3	57.749	3.30E+08	3.23E+08	3.15E+08	3.46E+08	3.38E+08	3.30E+08
50Vs0.5	yeast	A6ZY89;B3LGE9;C7GIN5;C8Z543;P08566	>sp|A6ZY89|ARO1_YEAS7 Pentafunctional AROM polypeptide OS=Saccharomyces cerevisiae (strain YJM789) GN=ARO1 PE=3 SV=1;>sp|B3LGE9|ARO1_YEAS1 Pentafunctional AROM polypeptide OS=Saccharomyces cerevisiae (strain RM11-1a) GN=ARO1 PE=3 SV=1;>sp|C7GIN5|ARO1_YEAS2	7	7	7	5.7	5.7	5.7	174.81	1.67E+07	1.62E+07	1.86E+07	1.53E+07	1.66E+07	1.83E+07
50Vs0.5	yeast	P35719	>sp|P35719|MRP8_YEAST Uncharacterized protein MRP8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRP8 PE=1 SV=1	8	8	8	47	47	47	25.097	5.01E+07	4.47E+07	4.76E+07	4.93E+07	4.87E+07	5.11E+07
50Vs5	yeast	P53228	>sp|P53228|TAL2_YEAST Transaldolase NQM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NQM1 PE=1 SV=1	2	2	2	9.6	9.6	9.6	37.253	5.22E+06	4.94E+06	5.01E+06		4.86E+06	9.19E+06
50Vs5	yeast	P40472;P53616	>sp|P40472|SIM1_YEAST Protein SIM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SIM1 PE=1 SV=2;>sp|P53616|SUN4_YEAST Septation protein SUN4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SUN4 PE=1 SV=1	2	2	2	4.6	4.6	4.6	48.189	8.20E+06	8.40E+06	8.02E+06	8.84E+06	9.33E+06	8.35E+06
50Vs0.5	yeast	P15873	>sp|P15873|PCNA_YEAST Proliferating cell nuclear antigen OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=POL30 PE=1 SV=1	7	7	7	31	31	31	28.916	5.97E+07	5.32E+07	5.25E+07	5.45E+07	5.32E+07	5.31E+07
50Vs0.5	yeast	A6ZMC1;B3LLV5;B5VPI9;C7GL62;C8ZER4;Q04728	>sp|A6ZMC1|ARGJ_YEAS7 Arginine biosynthesis bifunctional protein ArgJ, mitochondrial OS=Saccharomyces cerevisiae (strain YJM789) GN=ARG7 PE=3 SV=1;>sp|B3LLV5|ARGJ_YEAS1 Arginine biosynthesis bifunctional protein ArgJ, mitochondrial OS=Saccharomyces cerevis	4	4	4	9.8	9.8	9.8	47.848	1.25E+07	1.22E+07	9.95E+06	1.05E+07	1.26E+07	1.06E+07
50Vs0.5	yeast	P10869	>sp|P10869|AK_YEAST Aspartokinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HOM3 PE=1 SV=2	4	4	4	8	8	8	58.109	1.41E+07	1.18E+07	1.32E+07	1.16E+07	1.92E+07	1.13E+07
50Vs5	yeast	P26321	>sp|P26321|RL5_YEAST 60S ribosomal protein L5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL5 PE=1 SV=4	9	9	9	51.5	51.5	51.5	33.714	3.78E+08	3.60E+08	3.51E+08	3.95E+08	4.25E+08	4.15E+08
50Vs5	yeast	P05748;P54780	>sp|P05748|RL15A_YEAST 60S ribosomal protein L15-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL15A PE=1 SV=3;>sp|P54780|RL15B_YEAST 60S ribosomal protein L15-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL15B PE=1 SV=2	7	7	7	36.3	36.3	36.3	24.422	2.02E+08	2.03E+08	2.09E+08	2.19E+08	2.30E+08	2.12E+08
50Vs5	yeast	P40093	>sp|P40093|YEY6_YEAST UPF0160 protein YER156C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YER156C PE=1 SV=1	4	4	4	10.7	10.7	10.7	38.174	2.48E+07	2.23E+07	1.74E+07	2.00E+07	2.74E+07	2.18E+07
50Vs5	yeast	P38205	>sp|P38205|NCL1_YEAST Multisite-specific tRNA:(cytosine-C(5))-methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NCL1 PE=1 SV=1	2	2	2	3.9	3.9	3.9	77.878	7.12E+06	8.27E+06	8.66E+06	8.64E+06	9.04E+06	8.16E+06
25Vs12.5	yeast	Q06146	>sp|Q06146|YL257_YEAST Uncharacterized protein YLR257W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YLR257W PE=1 SV=1	2	2	2	10	10	10	35.998	1.06E+07	9.96E+06	1.10E+07	1.14E+07	1.03E+07	1.08E+07
25Vs12.5	yeast	P53912	>sp|P53912|YNN4_YEAST Uncharacterized protein YNL134C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YNL134C PE=1 SV=1	8	8	7	27.1	27.1	25.3	41.164	1.13E+08	1.24E+08	1.25E+08	1.20E+08	1.22E+08	1.22E+08
50Vs0.5	yeast	P19454	>sp|P19454|CSK22_YEAST Casein kinase II subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CKA2 PE=1 SV=2	2	2	2	7.4	7.4	7.4	39.403	5.34E+06	4.43E+06	5.86E+06	5.37E+06	5.20E+06	4.58E+06
50Vs0.5	yeast	Q12250	>sp|Q12250|RPN5_YEAST 26S proteasome regulatory subunit RPN5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPN5 PE=1 SV=3	2	2	2	8.1	8.1	8.1	51.768	1.35E+07	1.56E+07	1.35E+07	1.33E+07	1.42E+07	1.39E+07
50Vs0.5	yeast	P32352	>sp|P32352|ERG2_YEAST C-8 sterol isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ERG2 PE=1 SV=1	1	1	1	5.4	5.4	5.4	24.895	8.05E+06	9.40E+06	8.54E+06	9.70E+06	9.46E+06	8.07E+06
50Vs5	yeast	A6ZPB3;P12962	>sp|A6ZPB3|CAF20_YEAS7 Cap-associated protein CAF20 OS=Saccharomyces cerevisiae (strain YJM789) GN=CAF20 PE=3 SV=1;>sp|P12962|CAF20_YEAST Cap-associated protein CAF20 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CAF20 PE=1 SV=2	1	1	1	8.7	8.7	8.7	18.209	5.82E+06	5.62E+06	5.55E+06		6.80E+06	7.89E+06
25Vs12.5	yeast	P09733	>sp|P09733|TBA1_YEAST Tubulin alpha-1 chain OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TUB1 PE=1 SV=2	6	6	6	21.3	21.3	21.3	49.799	2.83E+07	3.54E+07	2.96E+07	3.58E+07	3.07E+07	2.92E+07
25Vs12.5	yeast	P19358	>sp|P19358|METK2_YEAST S-adenosylmethionine synthase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SAM2 PE=1 SV=3	6	6	3	19.8	19.8	10.7	42.255	2.49E+07	2.52E+07	2.49E+07	2.50E+07	2.55E+07	2.53E+07
50Vs0.5	yeast	P10664;P49626	>sp|P10664|RL4A_YEAST 60S ribosomal protein L4-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL4A PE=1 SV=4;>sp|P49626|RL4B_YEAST 60S ribosomal protein L4-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL4B PE=1 SV=2	13	13	13	51.4	51.4	51.4	39.092	8.23E+08	8.55E+08	8.66E+08	8.01E+08	8.46E+08	8.34E+08
50Vs0.5	yeast	P0CX82;P0CX83	>sp|P0CX82|RL19A_YEAST 60S ribosomal protein L19-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL19A PE=1 SV=1;>sp|P0CX83|RL19B_YEAST 60S ribosomal protein L19-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL19B PE=1 SV=1	6	6	6	29.1	29.1	29.1	21.704	2.26E+08	2.16E+08	1.94E+08	2.03E+08	2.37E+08	2.25E+08
50Vs0.5	yeast	P34227	>sp|P34227|PRX1_YEAST Mitochondrial peroxiredoxin PRX1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRX1 PE=1 SV=1	7	7	7	34.5	34.5	34.5	29.495	1.19E+08	1.14E+08	1.06E+08	1.20E+08	1.18E+08	1.17E+08
50Vs0.5	yeast	Q00955	>sp|Q00955|ACAC_YEAST Acetyl-CoA carboxylase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ACC1 PE=1 SV=2	22	22	22	13	13	13	250.35	1.32E+08	1.30E+08	1.31E+08	1.37E+08	1.34E+08	1.39E+08
50Vs0.5	yeast	P46367	>sp|P46367|ALDH4_YEAST Potassium-activated aldehyde dehydrogenase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ALD4 PE=1 SV=2	16	16	16	42.8	42.8	42.8	56.723	3.11E+08	3.11E+08	3.09E+08	2.95E+08	2.93E+08	3.21E+08
50Vs0.5	yeast	P32469	>sp|P32469|DPH5_YEAST Diphthine synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DPH5 PE=1 SV=1	2	2	2	12.3	12.3	12.3	33.847	1.88E+07	1.98E+07	1.96E+07	2.07E+07	1.90E+07	2.12E+07
50Vs0.5	yeast	P0CX45;P0CX46	>sp|P0CX45|RL2A_YEAST 60S ribosomal protein L2-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL2A PE=1 SV=1;>sp|P0CX46|RL2B_YEAST 60S ribosomal protein L2-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL2B PE=1 SV=1	8	8	8	39.8	39.8	39.8	27.408	3.44E+08	3.71E+08	3.17E+08	3.42E+08	3.75E+08	3.60E+08
50Vs5	yeast	Q06103	>sp|Q06103|RPN7_YEAST 26S proteasome regulatory subunit RPN7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPN7 PE=1 SV=3	2	2	2	5.4	5.4	5.4	48.958	4.37E+06	4.78E+06	3.64E+06	4.90E+06	5.03E+06	4.49E+06
50Vs5	yeast	P40075	>sp|P40075|SCS2_YEAST Vesicle-associated membrane protein-associated protein SCS2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SCS2 PE=1 SV=3	3	3	3	17.2	17.2	17.2	26.925	2.23E+07	2.15E+07	2.20E+07	2.30E+07	2.39E+07	2.40E+07
50Vs0.5	yeast	P14742	>sp|P14742|GFA1_YEAST Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GFA1 PE=1 SV=4	15	15	15	25.1	25.1	25.1	80.046	6.46E+07	6.13E+07	6.46E+07	6.46E+07	6.86E+07	6.60E+07
25Vs12.5	yeast	A6ZT71;B3LSS7;B5VK90;P38858	>sp|A6ZT71|SOL3_YEAS7 6-phosphogluconolactonase 3 OS=Saccharomyces cerevisiae (strain YJM789) GN=SOL3 PE=3 SV=1;>sp|B3LSS7|SOL3_YEAS1 6-phosphogluconolactonase 3 OS=Saccharomyces cerevisiae (strain RM11-1a) GN=SOL3 PE=3 SV=1;>sp|B5VK90|SOL3_YEAS6 6-phospho	5	5	5	23.3	23.3	23.3	27.784	3.12E+07	3.07E+07	3.18E+07	3.15E+07	3.07E+07	3.23E+07
25Vs12.5	yeast	P32565	>sp|P32565|RPN2_YEAST 26S proteasome regulatory subunit RPN2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPN2 PE=1 SV=4	7	7	7	8.6	8.6	8.6	104.23	2.91E+07	2.94E+07	3.20E+07	3.37E+07	2.83E+07	2.95E+07
50Vs0.5	yeast	P40075	>sp|P40075|SCS2_YEAST Vesicle-associated membrane protein-associated protein SCS2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SCS2 PE=1 SV=3	3	3	3	17.2	17.2	17.2	26.925	2.43E+07	2.33E+07	2.37E+07	2.47E+07	2.59E+07	2.40E+07
50Vs5	yeast	P15705	>sp|P15705|STI1_YEAST Heat shock protein STI1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=STI1 PE=1 SV=1	22	22	22	42.1	42.1	42.1	66.264	2.33E+08	2.43E+08	2.37E+08	2.51E+08	2.61E+08	2.58E+08
50Vs5	yeast	P27614	>sp|P27614|CBPS_YEAST Carboxypeptidase S OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CPS1 PE=1 SV=2	6	6	6	14.6	14.6	14.6	64.596	4.57E+07	4.52E+07	4.56E+07	4.81E+07	5.32E+07	5.34E+07
50Vs5	yeast	O13547	>sp|O13547|CCW14_YEAST Covalently-linked cell wall protein 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CCW14 PE=1 SV=1	3	3	3	18.1	18.1	18.1	23.268	7.34E+07	7.04E+07	7.29E+07	8.39E+07	8.22E+07	7.92E+07
50Vs5	yeast	P40150	>sp|P40150|HSP76_YEAST Heat shock protein SSB2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSB2 PE=1 SV=2	30	1	1	58.4	3.4	3.4	66.594	7.17E+07	6.67E+07	7.04E+07	7.40E+07	8.20E+07	8.04E+07
50Vs5	yeast	P0CX37;P0CX38	>sp|P0CX37|RS6A_YEAST 40S ribosomal protein S6-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS6A PE=1 SV=1;>sp|P0CX38|RS6B_YEAST 40S ribosomal protein S6-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS6B PE=1 SV=1	8	8	8	35.2	35.2	35.2	26.996	2.21E+08	2.29E+08	2.03E+08	1.94E+08	2.82E+08	2.36E+08
25Vs12.5	yeast	Q04344	>sp|Q04344|HNT1_YEAST Hit family protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HNT1 PE=1 SV=2	2	2	2	20.9	20.9	20.9	17.679	1.64E+07	1.01E+07	1.44E+07	1.23E+07	1.19E+07	1.77E+07
50Vs5	yeast	P40531	>sp|P40531|GVP36_YEAST Protein GVP36 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GVP36 PE=1 SV=1	9	9	9	35	35	35	36.67	6.31E+07	6.03E+07	6.03E+07	6.29E+07	6.91E+07	6.65E+07
25Vs12.5	yeast	P23180	>sp|P23180|AIM17_YEAST Probable oxidoreductase AIM17 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AIM17 PE=1 SV=2	3	3	3	8.2	8.2	8.2	53.134	1.98E+07	2.23E+07	2.02E+07	2.12E+07	2.12E+07	2.14E+07
50Vs5	yeast	Q00955	>sp|Q00955|ACAC_YEAST Acetyl-CoA carboxylase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ACC1 PE=1 SV=2	22	22	22	12.6	12.6	12.6	250.35	1.07E+08	1.02E+08	1.09E+08	1.18E+08	1.19E+08	1.24E+08
25Vs12.5	yeast	P32582	>sp|P32582|CBS_YEAST Cystathionine beta-synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CYS4 PE=1 SV=1	19	19	19	52.3	52.3	52.3	56.021	2.75E+08	2.86E+08	2.91E+08	2.88E+08	2.89E+08	2.83E+08
25Vs12.5	yeast	P53111	>sp|P53111|ARI1_YEAST NADPH-dependent aldehyde reductase ARI1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARI1 PE=1 SV=1	3	3	3	16.1	16.1	16.1	38.083	1.09E+07	1.25E+07	1.06E+07	1.30E+07	1.11E+07	1.03E+07
50Vs5	yeast	Q07799	>sp|Q07799|YL007_YEAST Uncharacterized protein YLL007C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YLL007C PE=1 SV=1	1	1	1	1.2	1.2	1.2	76.621	1.49E+07	1.74E+07	1.72E+07	1.63E+07	1.92E+07	1.80E+07
50Vs5	yeast	P06738	>sp|P06738|PHSG_YEAST Glycogen phosphorylase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GPH1 PE=1 SV=4	18	18	18	23.9	23.9	23.9	103.27	9.57E+07	9.41E+07	9.39E+07	1.00E+08	1.13E+08	1.08E+08
50Vs0.5	yeast	P32473	>sp|P32473|ODPB_YEAST Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PDB1 PE=1 SV=2	3	3	3	9	9	9	40.053	2.53E+07	2.76E+07	2.95E+07	2.79E+07	2.84E+07	2.94E+07
25Vs12.5	yeast	P33297	>sp|P33297|PRS6A_YEAST 26S protease regulatory subunit 6A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPT5 PE=1 SV=3	4	4	4	13.6	13.6	13.6	48.255	1.69E+07	1.40E+07	1.47E+07	1.59E+07	1.43E+07	1.65E+07
50Vs0.5	yeast	P43590	>sp|P43590|YFH6_YEAST Uncharacterized peptidase YFR006W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YFR006W PE=1 SV=1	3	3	3	6	6	6	61.753	1.22E+07	1.46E+07	1.43E+07	1.34E+07	1.32E+07	1.36E+07
50Vs5	yeast	P22353	>sp|P22353|RM08_YEAST 54S ribosomal protein L8, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRPL8 PE=1 SV=4	1	1	1	3.4	3.4	3.4	26.945	7.56E+06	7.36E+06	6.63E+06	7.33E+06	7.85E+06	8.08E+06
